PRODUCTID;ORDER_NUMBER;ORDER_QUANTITY;UNIT_PRICE;DELIVERY_COST;TAX_RATE
2;SO44425   ;1;EUR 850;EUR 30,46;0.23000
2;SO46841   ;8;EUR 850;EUR 60,53;0.23000
4;SO47535   ;6;EUR 1159,9;EUR 47,37;0.23000
1;SO47959   ;4;EUR 799;EUR 76,04;0.23000
5;SO44604   ;9;EUR 200;EUR 85,36;0.23000
4;SO47157   ;5;EUR 1159,9;EUR 60,46;0.23000
3;SO47190   ;5;EUR 99,99;EUR 58,58;0.23000
1;SO47616   ;5;EUR 799;EUR 31,9;0.23000
5;SO47313   ;3;EUR 200;EUR 67,91;0.23000
3;SO47306   ;4;EUR 99,99;EUR 73,62;0.23000
1;SO47598   ;5;EUR 799;EUR 80,72;0.23000
5;SO47751   ;2;EUR 200;EUR 40;0.23000
3;SO46779   ;2;EUR 99,99;EUR 51,89;0.23000
2;SO46829   ;1;EUR 850;EUR 32,91;0.23000
2;SO47239   ;5;EUR 850;EUR 69;0.23000
2;SO47654   ;7;EUR 850;EUR 71,17;0.23000
4;SO47914   ;2;EUR 1159,9;EUR 65,55;0.23000
3;SO44653   ;6;EUR 99,99;EUR 34,49;0.23000
2;SO47565   ;9;EUR 850;EUR 44,46;0.23000
5;SO43777   ;8;EUR 200;EUR 44,11;0.23000
4;SO44626   ;5;EUR 1159,9;EUR 50,88;0.23000
2;SO47302   ;4;EUR 850;EUR 56,44;0.23000
4;SO48259   ;2;EUR 1159,9;EUR 51,17;0.23000
2;SO46760   ;2;EUR 850;EUR 33,82;0.23000
1;SO47071   ;5;EUR 799;EUR 85,12;0.23000
3;SO47527   ;4;EUR 99,99;EUR 44,07;0.23000
4;SO47904   ;1;EUR 1159,9;EUR 64,27;0.23000
1;SO43838   ;10;EUR 799;EUR 64,15;0.23000
4;SO43965   ;5;EUR 1159,9;EUR 55,58;0.23000
3;SO43987   ;9;EUR 99,99;EUR 68,79;0.23000
5;SO44019   ;8;EUR 200;EUR 76,59;0.23000
