PRODUCTID;ORDER_NUMBER;ORDER_QUANTITY;UNIT_PRICE;DELIVERY_COST;TAX_RATE
2;SO44574   ;1;EUR 850;EUR 58,41;0.23000
5;SO44692   ;7;EUR 200;EUR 46,73;0.23000
2;SO46839   ;5;EUR 850;EUR 83,23;0.23000
3;SO44739   ;3;EUR 99,99;EUR 88,26;0.23000
5;SO47150   ;10;EUR 200;EUR 73,51;0.23000
2;SO47075   ;10;EUR 850;EUR 45,33;0.23000
2;SO47136   ;8;EUR 850;EUR 79,68;0.23000
4;SO47550   ;6;EUR 1159,9;EUR 47,97;0.23000
3;SO47623   ;7;EUR 99,99;EUR 77,32;0.23000
1;SO44684   ;1;EUR 799;EUR 31,18;0.23000
4;SO47139   ;7;EUR 1159,9;EUR 30,08;0.23000
3;SO47147   ;3;EUR 99,99;EUR 85,62;0.23000
5;SO47303   ;7;EUR 200;EUR 60,65;0.23000
5;SO47571   ;8;EUR 200;EUR 41,4;0.23000
1;SO47881   ;1;EUR 799;EUR 60,09;0.23000
2;SO48264   ;5;EUR 850;EUR 31,85;0.23000
1;SO44465   ;2;EUR 799;EUR 43,24;0.23000
3;SO47199   ;8;EUR 99,99;EUR 85,9;0.23000
3;SO47248   ;3;EUR 99,99;EUR 62,67;0.23000
1;SO47324   ;7;EUR 799;EUR 49,08;0.23000
3;SO48130   ;7;EUR 99,99;EUR 70,33;0.23000
5;SO48209   ;9;EUR 200;EUR 83,21;0.23000
2;SO48241   ;2;EUR 850;EUR 60,55;0.23000
4;SO43744   ;1;EUR 1159,9;EUR 87,67;0.23000
1;SO43795   ;9;EUR 799;EUR 31,49;0.23000
3;SO44452   ;8;EUR 99,99;EUR 45,98;0.23000
1;SO47595   ;4;EUR 799;EUR 33,59;0.23000
1;SO46749   ;10;EUR 799;EUR 82,35;0.23000
1;SO43822   ;4;EUR 799;EUR 53,36;0.23000
5;SO43923   ;7;EUR 200;EUR 73,74;0.23000
4;SO43924   ;8;EUR 1159,9;EUR 59,01;0.23000
3;SO43953   ;3;EUR 99,99;EUR 47,34;0.23000
1;SO44030   ;6;EUR 799;EUR 72,9;0.23000
4;SO44598   ;7;EUR 1159,9;EUR 40;0.23000
4;SO47463   ;4;EUR 1159,9;EUR 55,01;0.23000
1;SO47634   ;6;EUR 799;EUR 50,92;0.23000
3;SO48153   ;4;EUR 99,99;EUR 65,2;0.23000
4;SO44181   ;6;EUR 1159,9;EUR 57,75;0.23000
2;SO44380   ;5;EUR 850;EUR 88,32;0.23000
4;SO44389   ;7;EUR 1159,9;EUR 64,72;0.23000
1;SO44721   ;2;EUR 799;EUR 80,1;0.23000
2;SO46881   ;5;EUR 850;EUR 76,57;0.23000
3;SO47499   ;10;EUR 99,99;EUR 90,23;0.23000
3;SO47775   ;10;EUR 99,99;EUR 82,97;0.23000
3;SO48214   ;3;EUR 99,99;EUR 34,47;0.23000
1;SO47486   ;2;EUR 799;EUR 89,56;0.23000
3;SO47612   ;10;EUR 99,99;EUR 85,13;0.23000
1;SO46821   ;2;EUR 799;EUR 47,72;0.23000
1;SO47476   ;8;EUR 799;EUR 76,76;0.23000
2;SO47583   ;10;EUR 850;EUR 35,48;0.23000
3;SO48278   ;1;EUR 99,99;EUR 41,24;0.23000
1;SO47761   ;6;EUR 799;EUR 33,39;0.23000
4;SO47850   ;7;EUR 1159,9;EUR 51,34;0.23000
3;SO47557   ;8;EUR 99,99;EUR 56,42;0.23000
3;SO47601   ;5;EUR 99,99;EUR 85,21;0.23000
2;SO47555   ;3;EUR 850;EUR 39,52;0.23000
2;SO47076   ;1;EUR 850;EUR 73,89;0.23000
2;SO47548   ;7;EUR 850;EUR 62,23;0.23000
5;SO47836   ;1;EUR 200;EUR 55,15;0.23000
4;SO48188   ;2;EUR 1159,9;EUR 38,05;0.23000
2;SO48200   ;10;EUR 850;EUR 55,23;0.23000
2;SO48410   ;3;EUR 850;EUR 53,87;0.23000
1;SO46790   ;8;EUR 799;EUR 41,62;0.23000
2;SO46814   ;7;EUR 850;EUR 33,42;0.23000
2;SO46733   ;10;EUR 850;EUR 72,12;0.23000
4;SO47319   ;8;EUR 1159,9;EUR 68,26;0.23000
3;SO47626   ;9;EUR 99,99;EUR 80,75;0.23000
2;SO47898   ;6;EUR 850;EUR 34,29;0.23000
4;SO47949   ;9;EUR 1159,9;EUR 71,1;0.23000
3;SO44572   ;6;EUR 99,99;EUR 83,61;0.23000
4;SO47091   ;10;EUR 1159,9;EUR 82,19;0.23000
2;SO47174   ;5;EUR 850;EUR 67,93;0.23000
3;SO47102   ;9;EUR 99,99;EUR 61,71;0.23000
3;SO44460   ;4;EUR 99,99;EUR 89,13;0.23000
5;SO47639   ;6;EUR 200;EUR 71,1;0.23000
4;SO48400   ;1;EUR 1159,9;EUR 75,59;0.23000
3;SO44450   ;10;EUR 99,99;EUR 53,11;0.23000
4;SO48151   ;8;EUR 1159,9;EUR 66,01;0.23000
4;SO48258   ;7;EUR 1159,9;EUR 38,42;0.23000
5;SO46898   ;8;EUR 200;EUR 62,64;0.23000
3;SO47093   ;2;EUR 99,99;EUR 34,2;0.23000
3;SO47283   ;7;EUR 99,99;EUR 85,43;0.23000
4;SO47328   ;8;EUR 1159,9;EUR 87,89;0.23000
1;SO47502   ;9;EUR 799;EUR 87,46;0.23000
3;SO48415   ;1;EUR 99,99;EUR 79,34;0.23000
3;SO46894   ;5;EUR 99,99;EUR 34,36;0.23000
2;SO47641   ;1;EUR 850;EUR 55,36;0.23000
1;SO46846   ;9;EUR 799;EUR 44,6;0.23000
1;SO46882   ;5;EUR 799;EUR 61,38;0.23000
5;SO47563   ;8;EUR 200;EUR 41,02;0.23000
1;SO48123   ;5;EUR 799;EUR 87,3;0.23000
4;SO47229   ;3;EUR 1159,9;EUR 53,24;0.23000
2;SO48133   ;5;EUR 850;EUR 54,46;0.23000
2;SO47120   ;7;EUR 850;EUR 82,53;0.23000
5;SO47343   ;3;EUR 200;EUR 88,01;0.23000
4;SO48177   ;4;EUR 1159,9;EUR 67,05;0.23000
4;SO43720   ;5;EUR 1159,9;EUR 47,92;0.23000
3;SO43747   ;3;EUR 99,99;EUR 43,89;0.23000
5;SO43774   ;6;EUR 200;EUR 90,2;0.23000
5;SO43793   ;6;EUR 200;EUR 46,28;0.23000
2;SO43811   ;6;EUR 850;EUR 63,28;0.23000
4;SO47645   ;9;EUR 1159,9;EUR 51,05;0.23000
5;SO47747   ;2;EUR 200;EUR 64,64;0.23000
4;SO44619   ;9;EUR 1159,9;EUR 87,48;0.23000
4;SO47493   ;3;EUR 1159,9;EUR 33,69;0.23000
5;SO47543   ;3;EUR 200;EUR 47,05;0.23000
1;SO47569   ;6;EUR 799;EUR 48,29;0.23000
4;SO48098   ;5;EUR 1159,9;EUR 34,41;0.23000
2;SO47200   ;9;EUR 850;EUR 58;0.23000
5;SO46822   ;3;EUR 200;EUR 41,51;0.23000
5;SO47743   ;2;EUR 200;EUR 51,47;0.23000
4;SO46746   ;10;EUR 1159,9;EUR 76,92;0.23000
1;SO47466   ;3;EUR 799;EUR 84,84;0.23000
2;SO47811   ;10;EUR 850;EUR 88,43;0.23000
4;SO47874   ;9;EUR 1159,9;EUR 70,72;0.23000
2;SO47465   ;1;EUR 850;EUR 47,07;0.23000
2;SO47929   ;9;EUR 850;EUR 88,67;0.23000
5;SO47931   ;8;EUR 200;EUR 80,07;0.23000
2;SO48193   ;4;EUR 850;EUR 82,2;0.23000
4;SO43715   ;6;EUR 1159,9;EUR 53,29;0.23000
3;SO43724   ;4;EUR 99,99;EUR 39,3;0.23000
3;SO43733   ;7;EUR 99,99;EUR 45,73;0.23000
4;SO43738   ;3;EUR 1159,9;EUR 35,96;0.23000
5;SO43752   ;6;EUR 200;EUR 70,33;0.23000
3;SO43781   ;1;EUR 99,99;EUR 39,09;0.23000
4;SO43805   ;1;EUR 1159,9;EUR 44,58;0.23000
1;SO44584   ;9;EUR 799;EUR 63,7;0.23000
1;SO44707   ;6;EUR 799;EUR 44,59;0.23000
5;SO47081   ;3;EUR 200;EUR 75,5;0.23000
5;SO47188   ;9;EUR 200;EUR 56,65;0.23000
1;SO47211   ;6;EUR 799;EUR 67,87;0.23000
5;SO47237   ;4;EUR 200;EUR 65,65;0.23000
2;SO47644   ;10;EUR 850;EUR 71,06;0.23000
2;SO47815   ;5;EUR 850;EUR 35,05;0.23000
1;SO43718   ;10;EUR 799;EUR 45,47;0.23000
1;SO43741   ;1;EUR 799;EUR 31,09;0.23000
5;SO43770   ;9;EUR 200;EUR 32,96;0.23000
2;SO43792   ;4;EUR 850;EUR 80,3;0.23000
1;SO43810   ;8;EUR 799;EUR 39,37;0.23000
3;SO44698   ;4;EUR 99,99;EUR 30,96;0.23000
5;SO47124   ;1;EUR 200;EUR 80,44;0.23000
1;SO47255   ;3;EUR 799;EUR 58,94;0.23000
4;SO44580   ;5;EUR 1159,9;EUR 73,5;0.23000
1;SO46711   ;1;EUR 799;EUR 46,33;0.23000
2;SO47254   ;4;EUR 850;EUR 82,4;0.23000
1;SO47558   ;2;EUR 799;EUR 48,95;0.23000
3;SO48221   ;10;EUR 99,99;EUR 41,79;0.23000
5;SO43729   ;5;EUR 200;EUR 79,66;0.23000
4;SO43743   ;6;EUR 1159,9;EUR 53,47;0.23000
3;SO43757   ;6;EUR 99,99;EUR 64,08;0.23000
4;SO43766   ;6;EUR 1159,9;EUR 35,05;0.23000
3;SO44417   ;9;EUR 99,99;EUR 77,29;0.23000
4;SO47265   ;8;EUR 1159,9;EUR 47,39;0.23000
1;SO47586   ;4;EUR 799;EUR 59,7;0.23000
4;SO43960   ;10;EUR 1159,9;EUR 48,39;0.23000
2;SO44000   ;9;EUR 850;EUR 72,5;0.23000
3;SO44023   ;8;EUR 99,99;EUR 84,51;0.23000
3;SO44025   ;7;EUR 99,99;EUR 37,65;0.23000
3;SO47225   ;3;EUR 99,99;EUR 65,98;0.23000
5;SO47230   ;5;EUR 200;EUR 69,34;0.23000
3;SO47737   ;2;EUR 99,99;EUR 47,27;0.23000
3;SO44595   ;6;EUR 99,99;EUR 40,91;0.23000
1;SO44605   ;3;EUR 799;EUR 90,98;0.23000
5;SO46897   ;3;EUR 200;EUR 33,96;0.23000
3;SO47072   ;7;EUR 99,99;EUR 69,27;0.23000
2;SO47300   ;10;EUR 850;EUR 73,23;0.23000
2;SO47605   ;1;EUR 850;EUR 63,44;0.23000
1;SO47504   ;5;EUR 799;EUR 80,56;0.23000
5;SO47922   ;4;EUR 200;EUR 46,75;0.23000
2;SO44706   ;3;EUR 850;EUR 78,72;0.23000
4;SO44705   ;5;EUR 1159,9;EUR 54,29;0.23000
5;SO46887   ;3;EUR 200;EUR 31,75;0.23000
1;SO47495   ;10;EUR 799;EUR 87,94;0.23000
5;SO47741   ;10;EUR 200;EUR 54,21;0.23000
5;SO44208   ;8;EUR 200;EUR 73,95;0.23000
2;SO44214   ;2;EUR 850;EUR 68,89;0.23000
4;SO44221   ;3;EUR 1159,9;EUR 51,03;0.23000
2;SO44326   ;7;EUR 850;EUR 51,08;0.23000
1;SO44345   ;2;EUR 799;EUR 41,05;0.23000
5;SO44361   ;6;EUR 200;EUR 56,71;0.23000
4;SO44399   ;7;EUR 1159,9;EUR 38,73;0.23000
3;SO44650   ;10;EUR 99,99;EUR 69,35;0.23000
5;SO46738   ;1;EUR 200;EUR 81,63;0.23000
2;SO47107   ;7;EUR 850;EUR 79,39;0.23000
4;SO43840   ;9;EUR 1159,9;EUR 71,56;0.23000
3;SO43933   ;1;EUR 99,99;EUR 41,03;0.23000
5;SO43948   ;10;EUR 200;EUR 60,01;0.23000
1;SO43971   ;4;EUR 799;EUR 68,44;0.23000
5;SO43972   ;7;EUR 200;EUR 33,92;0.23000
2;SO43988   ;5;EUR 850;EUR 38,03;0.23000
2;SO44051   ;8;EUR 850;EUR 75,36;0.23000
2;SO44732   ;3;EUR 850;EUR 67,6;0.23000
4;SO44609   ;5;EUR 1159,9;EUR 63,39;0.23000
4;SO44656   ;10;EUR 1159,9;EUR 73,61;0.23000
2;SO46854   ;8;EUR 850;EUR 82,26;0.23000
4;SO43970   ;8;EUR 1159,9;EUR 72,77;0.23000
4;SO44043   ;4;EUR 1159,9;EUR 51,88;0.23000
1;SO44048   ;4;EUR 799;EUR 56,11;0.23000
3;SO44445   ;6;EUR 99,99;EUR 53,87;0.23000
1;SO46901   ;6;EUR 799;EUR 58,51;0.23000
2;SO47219   ;3;EUR 850;EUR 90,98;0.23000
3;SO47758   ;4;EUR 99,99;EUR 69,09;0.23000
2;SO47087   ;3;EUR 850;EUR 37,67;0.23000
2;SO47308   ;10;EUR 850;EUR 76,86;0.23000
1;SO47478   ;8;EUR 799;EUR 53,12;0.23000
3;SO47778   ;1;EUR 99,99;EUR 81,83;0.23000
1;SO47851   ;4;EUR 799;EUR 37,47;0.23000
1;SO47554   ;5;EUR 799;EUR 40,11;0.23000
2;SO48117   ;3;EUR 850;EUR 80,01;0.23000
4;SO43931   ;10;EUR 1159,9;EUR 65,07;0.23000
4;SO43963   ;9;EUR 1159,9;EUR 85,89;0.23000
5;SO44056   ;3;EUR 200;EUR 32,18;0.23000
4;SO46713   ;8;EUR 1159,9;EUR 87,25;0.23000
3;SO47474   ;6;EUR 99,99;EUR 37,95;0.23000
3;SO47551   ;6;EUR 99,99;EUR 73,1;0.23000
4;SO46845   ;6;EUR 1159,9;EUR 84,98;0.23000
3;SO44179   ;8;EUR 99,99;EUR 45,14;0.23000
4;SO43799   ;9;EUR 1159,9;EUR 31,89;0.23000
4;SO46757   ;10;EUR 1159,9;EUR 81,21;0.23000
2;SO47765   ;3;EUR 850;EUR 46,45;0.23000
4;SO47873   ;2;EUR 1159,9;EUR 76,28;0.23000
5;SO44639   ;2;EUR 200;EUR 36,68;0.23000
1;SO44667   ;2;EUR 799;EUR 67,3;0.23000
3;SO47077   ;8;EUR 99,99;EUR 78,85;0.23000
3;SO47117   ;1;EUR 99,99;EUR 30,48;0.23000
4;SO47287   ;6;EUR 1159,9;EUR 84,78;0.23000
3;SO47521   ;7;EUR 99,99;EUR 81,84;0.23000
1;SO47648   ;2;EUR 799;EUR 55,51;0.23000
4;SO47807   ;5;EUR 1159,9;EUR 33,42;0.23000
3;SO44246   ;8;EUR 99,99;EUR 66,56;0.23000
4;SO44273   ;8;EUR 1159,9;EUR 54,69;0.23000
2;SO44347   ;8;EUR 850;EUR 35,05;0.23000
5;SO46810   ;4;EUR 200;EUR 47,58;0.23000
2;SO46860   ;1;EUR 850;EUR 42,37;0.23000
5;SO46921   ;3;EUR 200;EUR 86,27;0.23000
1;SO47604   ;6;EUR 799;EUR 55,52;0.23000
3;SO44247   ;4;EUR 99,99;EUR 35,16;0.23000
5;SO44252   ;2;EUR 200;EUR 38,36;0.23000
3;SO44260   ;6;EUR 99,99;EUR 61,93;0.23000
5;SO46754   ;5;EUR 200;EUR 88,63;0.23000
3;SO47253   ;8;EUR 99,99;EUR 66,9;0.23000
5;SO47472   ;3;EUR 200;EUR 32,68;0.23000
4;SO48127   ;3;EUR 1159,9;EUR 71,23;0.23000
1;SO44189   ;3;EUR 799;EUR 45,35;0.23000
4;SO44211   ;10;EUR 1159,9;EUR 82,92;0.23000
5;SO44235   ;9;EUR 200;EUR 33,21;0.23000
3;SO44255   ;1;EUR 99,99;EUR 90,84;0.23000
3;SO44340   ;8;EUR 99,99;EUR 60,76;0.23000
4;SO44366   ;4;EUR 1159,9;EUR 75,79;0.23000
2;SO44376   ;10;EUR 850;EUR 64,6;0.23000
2;SO47534   ;9;EUR 850;EUR 61,01;0.23000
1;SO47581   ;3;EUR 799;EUR 66,1;0.23000
1;SO48408   ;10;EUR 799;EUR 66,29;0.23000
1;SO44462   ;7;EUR 799;EUR 87,58;0.23000
4;SO44690   ;10;EUR 1159,9;EUR 33,66;0.23000
2;SO47831   ;4;EUR 850;EUR 89,12;0.23000
1;SO47925   ;9;EUR 799;EUR 78,94;0.23000
3;SO46707   ;7;EUR 99,99;EUR 41,21;0.23000
3;SO47552   ;5;EUR 99,99;EUR 33,24;0.23000
1;SO47588   ;7;EUR 799;EUR 53,98;0.23000
2;SO48247   ;1;EUR 850;EUR 66,07;0.23000
1;SO47934   ;7;EUR 799;EUR 75,42;0.23000
3;SO48404   ;10;EUR 99,99;EUR 71,51;0.23000
1;SO47731   ;8;EUR 799;EUR 71,83;0.23000
4;SO44429   ;6;EUR 1159,9;EUR 36,54;0.23000
2;SO44434   ;10;EUR 850;EUR 62,84;0.23000
4;SO44618   ;10;EUR 1159,9;EUR 50,04;0.23000
3;SO46753   ;6;EUR 99,99;EUR 55,85;0.23000
5;SO47657   ;1;EUR 200;EUR 78,09;0.23000
1;SO44647   ;7;EUR 799;EUR 48,51;0.23000
1;SO44680   ;10;EUR 799;EUR 40,25;0.23000
2;SO47952   ;9;EUR 850;EUR 67,84;0.23000
3;SO44651   ;10;EUR 99,99;EUR 33,25;0.23000
1;SO46729   ;7;EUR 799;EUR 79,59;0.23000
4;SO46819   ;10;EUR 1159,9;EUR 78,2;0.23000
4;SO46885   ;8;EUR 1159,9;EUR 59,72;0.23000
5;SO47266   ;8;EUR 200;EUR 47,02;0.23000
5;SO47542   ;5;EUR 200;EUR 86,02;0.23000
1;SO47592   ;1;EUR 799;EUR 80,76;0.23000
2;SO47776   ;1;EUR 850;EUR 89,63;0.23000
1;SO47830   ;5;EUR 799;EUR 74,3;0.23000
1;SO48157   ;2;EUR 799;EUR 86,38;0.23000
3;SO43943   ;4;EUR 99,99;EUR 89,3;0.23000
4;SO43954   ;7;EUR 1159,9;EUR 81,73;0.23000
4;SO43983   ;8;EUR 1159,9;EUR 52,92;0.23000
1;SO44022   ;2;EUR 799;EUR 59,21;0.23000
3;SO44053   ;9;EUR 99,99;EUR 39,74;0.23000
1;SO44608   ;8;EUR 799;EUR 47,36;0.23000
3;SO47232   ;5;EUR 99,99;EUR 84,18;0.23000
2;SO47916   ;7;EUR 850;EUR 74,41;0.23000
3;SO48169   ;1;EUR 99,99;EUR 90,93;0.23000
5;SO48224   ;9;EUR 200;EUR 70,82;0.23000
2;SO43814   ;3;EUR 850;EUR 61,35;0.23000
2;SO44590   ;4;EUR 850;EUR 66,91;0.23000
3;SO44654   ;6;EUR 99,99;EUR 65,05;0.23000
1;SO44688   ;9;EUR 799;EUR 48,57;0.23000
1;SO44701   ;8;EUR 799;EUR 59,71;0.23000
4;SO44807   ;2;EUR 1159,9;EUR 75,09;0.23000
3;SO46918   ;1;EUR 99,99;EUR 78,93;0.23000
4;SO47097   ;7;EUR 1159,9;EUR 72,34;0.23000
1;SO47251   ;8;EUR 799;EUR 88,95;0.23000
3;SO44159   ;6;EUR 99,99;EUR 71,18;0.23000
3;SO44160   ;6;EUR 99,99;EUR 58,02;0.23000
4;SO44198   ;1;EUR 1159,9;EUR 51,58;0.23000
2;SO44222   ;2;EUR 850;EUR 84;0.23000
5;SO44250   ;6;EUR 200;EUR 34,31;0.23000
3;SO44265   ;10;EUR 99,99;EUR 66,4;0.23000
3;SO44272   ;6;EUR 99,99;EUR 74,29;0.23000
3;SO44381   ;6;EUR 99,99;EUR 65,98;0.23000
5;SO47789   ;6;EUR 200;EUR 53,45;0.23000
3;SO47517   ;6;EUR 99,99;EUR 82,81;0.23000
1;SO47631   ;9;EUR 799;EUR 70,76;0.23000
1;SO47787   ;8;EUR 799;EUR 64,27;0.23000
3;SO44435   ;3;EUR 99,99;EUR 48,82;0.23000
1;SO46705   ;8;EUR 799;EUR 50,15;0.23000
1;SO47135   ;6;EUR 799;EUR 68,35;0.23000
2;SO47560   ;4;EUR 850;EUR 31,83;0.23000
4;SO47833   ;1;EUR 1159,9;EUR 82,94;0.23000
1;SO47913   ;8;EUR 799;EUR 63,2;0.23000
3;SO48269   ;10;EUR 99,99;EUR 49,38;0.23000
1;SO43829   ;10;EUR 799;EUR 89,07;0.23000
4;SO43955   ;4;EUR 1159,9;EUR 75,31;0.23000
4;SO43995   ;10;EUR 1159,9;EUR 33,79;0.23000
3;SO44003   ;1;EUR 99,99;EUR 64,05;0.23000
3;SO44013   ;8;EUR 99,99;EUR 33,22;0.23000
3;SO44046   ;7;EUR 99,99;EUR 51,68;0.23000
4;SO47909   ;10;EUR 1159,9;EUR 53,76;0.23000
2;SO48147   ;3;EUR 850;EUR 48,32;0.23000
4;SO46736   ;3;EUR 1159,9;EUR 64,37;0.23000
4;SO46800   ;2;EUR 1159,9;EUR 41,8;0.23000
1;SO47798   ;5;EUR 799;EUR 73,54;0.23000
3;SO47859   ;10;EUR 99,99;EUR 43,88;0.23000
1;SO44170   ;6;EUR 799;EUR 62,73;0.23000
4;SO44204   ;6;EUR 1159,9;EUR 40,45;0.23000
5;SO44225   ;3;EUR 200;EUR 37,65;0.23000
3;SO44227   ;8;EUR 99,99;EUR 51,71;0.23000
1;SO44229   ;5;EUR 799;EUR 35,22;0.23000
3;SO44278   ;6;EUR 99,99;EUR 76,49;0.23000
4;SO44320   ;10;EUR 1159,9;EUR 77,41;0.23000
5;SO44353   ;4;EUR 200;EUR 45,5;0.23000
2;SO44358   ;1;EUR 850;EUR 43,47;0.23000
1;SO44363   ;8;EUR 799;EUR 90,21;0.23000
1;SO44412   ;5;EUR 799;EUR 69,41;0.23000
2;SO47125   ;9;EUR 850;EUR 33,31;0.23000
1;SO47484   ;6;EUR 799;EUR 43,2;0.23000
2;SO44439   ;5;EUR 850;EUR 59,57;0.23000
1;SO47183   ;9;EUR 799;EUR 75,79;0.23000
4;SO47215   ;8;EUR 1159,9;EUR 85,79;0.23000
4;SO47314   ;4;EUR 1159,9;EUR 42,19;0.23000
2;SO44575   ;10;EUR 850;EUR 46,62;0.23000
5;SO47508   ;3;EUR 200;EUR 35,63;0.23000
4;SO48185   ;4;EUR 1159,9;EUR 51,03;0.23000
1;SO43722   ;9;EUR 799;EUR 57,38;0.23000
2;SO43796   ;8;EUR 850;EUR 77,87;0.23000
1;SO44578   ;7;EUR 799;EUR 50,75;0.23000
5;SO47510   ;7;EUR 200;EUR 37,57;0.23000
1;SO48231   ;5;EUR 799;EUR 83,14;0.23000
2;SO47085   ;1;EUR 850;EUR 90,21;0.23000
4;SO48103   ;2;EUR 1159,9;EUR 37,98;0.23000
5;SO43817   ;9;EUR 200;EUR 61,27;0.23000
4;SO43821   ;8;EUR 1159,9;EUR 47,95;0.23000
4;SO43842   ;9;EUR 1159,9;EUR 80,8;0.23000
5;SO43938   ;8;EUR 200;EUR 38,35;0.23000
5;SO43967   ;3;EUR 200;EUR 42,5;0.23000
3;SO44055   ;6;EUR 99,99;EUR 54,74;0.23000
3;SO47529   ;2;EUR 99,99;EUR 52,78;0.23000
5;SO47561   ;5;EUR 200;EUR 82,91;0.23000
4;SO48187   ;8;EUR 1159,9;EUR 47,66;0.23000
2;SO48254   ;3;EUR 850;EUR 58,29;0.23000
1;SO44073   ;4;EUR 799;EUR 50,07;0.23000
2;SO44162   ;10;EUR 850;EUR 70,25;0.23000
3;SO44188   ;6;EUR 99,99;EUR 88,69;0.23000
3;SO44205   ;5;EUR 99,99;EUR 38,34;0.23000
3;SO44233   ;3;EUR 99,99;EUR 68,28;0.23000
1;SO44339   ;10;EUR 799;EUR 66,27;0.23000
2;SO44346   ;3;EUR 850;EUR 48,55;0.23000
5;SO44367   ;1;EUR 200;EUR 57,63;0.23000
2;SO44408   ;10;EUR 850;EUR 59,11;0.23000
1;SO44415   ;6;EUR 799;EUR 72,32;0.23000
4;SO47282   ;3;EUR 1159,9;EUR 45,55;0.23000
2;SO47469   ;4;EUR 850;EUR 41,59;0.23000
2;SO47549   ;2;EUR 850;EUR 70,58;0.23000
4;SO47810   ;9;EUR 1159,9;EUR 38,04;0.23000
1;SO47891   ;4;EUR 799;EUR 38,23;0.23000
2;SO47145   ;9;EUR 850;EUR 56,67;0.23000
2;SO47520   ;7;EUR 850;EUR 89,65;0.23000
4;SO47894   ;9;EUR 1159,9;EUR 61,36;0.23000
2;SO47918   ;9;EUR 850;EUR 50,69;0.23000
5;SO48265   ;9;EUR 200;EUR 64,15;0.23000
12;SO45158   ;1;EUR 299,99;EUR 42,69;0.23000
8;SO48463   ;3;EUR 1954,74;EUR 66,44;0.23000
8;SO49245   ;3;EUR 1954,74;EUR 35,03;0.23000
11;SO49279   ;6;EUR 433,33;EUR 49,79;0.23000
5;SO50062   ;8;EUR 200;EUR 46,23;0.23000
3;SO50355   ;10;EUR 99,99;EUR 35,53;0.23000
11;SO44821   ;4;EUR 433,33;EUR 32,93;0.23000
10;SO49286   ;2;EUR 1490;EUR 57,66;0.23000
10;SO49575   ;10;EUR 1490;EUR 60,83;0.23000
6;SO49613   ;4;EUR 2229,5;EUR 73,08;0.23000
4;SO49665   ;4;EUR 1159,9;EUR 66,88;0.23000
7;SO50020   ;8;EUR 1306;EUR 46,22;0.23000
2;SO50059   ;7;EUR 850;EUR 87,46;0.23000
11;SO44986   ;6;EUR 433,33;EUR 57,71;0.23000
8;SO45861   ;5;EUR 1954,74;EUR 30,32;0.23000
6;SO45891   ;8;EUR 2229,5;EUR 43,98;0.23000
4;SO49262   ;9;EUR 1159,9;EUR 36,54;0.23000
11;SO45440   ;1;EUR 433,33;EUR 45,84;0.23000
12;SO45626   ;10;EUR 299,99;EUR 33,48;0.23000
9;SO45734   ;8;EUR 503,96;EUR 36,77;0.23000
12;SO45767   ;9;EUR 299,99;EUR 70,61;0.23000
13;SO45916   ;6;EUR 399;EUR 78,61;0.23000
6;SO48510   ;10;EUR 2229,5;EUR 80,28;0.23000
4;SO48640   ;3;EUR 1159,9;EUR 61,84;0.23000
13;SO48666   ;10;EUR 399;EUR 44,52;0.23000
13;SO48922   ;1;EUR 399;EUR 81,99;0.23000
7;SO48927   ;6;EUR 1306;EUR 44,31;0.23000
3;SO50095   ;5;EUR 99,99;EUR 89,58;0.23000
4;SO44950   ;5;EUR 1159,9;EUR 57,45;0.23000
8;SO45149   ;1;EUR 1954,74;EUR 50,59;0.23000
4;SO45738   ;9;EUR 1159,9;EUR 77,24;0.23000
9;SO48424   ;4;EUR 503,96;EUR 68,45;0.23000
4;SO48822   ;5;EUR 1159,9;EUR 64,69;0.23000
12;SO49252   ;1;EUR 299,99;EUR 55,34;0.23000
13;SO49398   ;5;EUR 399;EUR 81,04;0.23000
6;SO49633   ;1;EUR 2229,5;EUR 77,31;0.23000
4;SO50000   ;6;EUR 1159,9;EUR 63,2;0.23000
3;SO50131   ;7;EUR 99,99;EUR 88,73;0.23000
2;SO45900   ;1;EUR 850;EUR 42,55;0.23000
13;SO48448   ;4;EUR 399;EUR 90,62;0.23000
3;SO48703   ;4;EUR 99,99;EUR 88,54;0.23000
7;SO48819   ;1;EUR 1306;EUR 73,63;0.23000
8;SO49005   ;6;EUR 1954,74;EUR 35,73;0.23000
6;SO49243   ;9;EUR 2229,5;EUR 55,43;0.23000
4;SO49244   ;10;EUR 1159,9;EUR 49,2;0.23000
4;SO49363   ;7;EUR 1159,9;EUR 88,18;0.23000
6;SO49413   ;7;EUR 2229,5;EUR 85,52;0.23000
10;SO49424   ;5;EUR 1490;EUR 71,13;0.23000
8;SO49774   ;9;EUR 1954,74;EUR 84,64;0.23000
2;SO45113   ;1;EUR 850;EUR 31,93;0.23000
6;SO45184   ;2;EUR 2229,5;EUR 64,96;0.23000
8;SO45372   ;6;EUR 1954,74;EUR 84,16;0.23000
4;SO45464   ;4;EUR 1159,9;EUR 30,54;0.23000
9;SO45635   ;1;EUR 503,96;EUR 65,73;0.23000
7;SO48566   ;5;EUR 1306;EUR 48,78;0.23000
5;SO49019   ;4;EUR 200;EUR 54,8;0.23000
